code,name,product_type,effective_from,effective_to,source,quality
159338,中证A500ETF国泰,ETF,2024-10-15,,initial_current_pool_backfill,partial_survivorship_bias
159363,创业板人工智能ETF华宝,ETF,2024-12-16,,initial_current_pool_backfill,partial_survivorship_bias
561380,电网设备ETF国泰,ETF,2024-12-23,,initial_current_pool_backfill,partial_survivorship_bias
588230,科创200ETF华泰柏瑞,ETF,2024-12-24,,initial_current_pool_backfill,partial_survivorship_bias
530180,上证180ETF易方达,ETF,2024-12-26,,initial_current_pool_backfill,partial_survivorship_bias
159323,港股通汽车ETF华夏,ETF,2025-01-08,,initial_current_pool_backfill,partial_survivorship_bias
563210,专精特新ETF富国,ETF,2025-01-24,,initial_current_pool_backfill,partial_survivorship_bias
159397,信用债ETF广发,ETF,2025-02-07,,initial_current_pool_backfill,partial_survivorship_bias
511200,信用债ETF华夏,ETF,2025-02-07,,initial_current_pool_backfill,partial_survivorship_bias
159201,自由现金流ETF华夏,ETF,2025-02-27,,initial_current_pool_backfill,partial_survivorship_bias
589680,科创综指ETF鹏华,ETF,2025-03-05,,initial_current_pool_backfill,partial_survivorship_bias
588850,科创机械ETF嘉实,ETF,2025-04-24,,initial_current_pool_backfill,partial_survivorship_bias
159227,航空航天ETF华夏,ETF,2025-05-16,,initial_current_pool_backfill,partial_survivorship_bias
159389,数字经济ETF嘉实,ETF,2025-05-30,,initial_current_pool_backfill,partial_survivorship_bias
159550,互联网ETF东财,ETF,2025-06-27,,initial_current_pool_backfill,partial_survivorship_bias
551550,科创债ETF华夏,ETF,2025-07-17,,initial_current_pool_backfill,partial_survivorship_bias
563230,卫星ETF富国,ETF,2025-09-17,,initial_current_pool_backfill,partial_survivorship_bias
530380,上证380ETF易方达,ETF,2025-09-30,,initial_current_pool_backfill,partial_survivorship_bias
530100,上证580ETF易方达,ETF,2025-10-22,,initial_current_pool_backfill,partial_survivorship_bias
520870,巴西ETF易方达,ETF,2025-11-13,,initial_current_pool_backfill,partial_survivorship_bias
517950,沪深港科技50ETF交银,ETF,2025-12-18,,initial_current_pool_backfill,partial_survivorship_bias
563960,300质量ETF兴全,ETF,2026-01-08,,initial_current_pool_backfill,partial_survivorship_bias
560710,船舶ETF富国,ETF,2026-02-06,,initial_current_pool_backfill,partial_survivorship_bias
515970,工程机械ETF华夏,ETF,2026-02-12,,initial_current_pool_backfill,partial_survivorship_bias
159197,石油ETF招商,ETF,2026-04-02,,initial_current_pool_backfill,partial_survivorship_bias
